,VEGFA,FGF1,Cluster
TCGA-E9-A1NH-01A-11R-A14D-07,6.916837253787764,4.509412651775345,0
TCGA-E2-A1LH-01A-11R-A14D-07,6.213343281144178,3.175765359050274,1
TCGA-BH-A0B0-01A-21R-A115-07,5.075078409614991,2.779644940491773,1
TCGA-D8-A73W-01A-22R-A352-07,7.147490919443137,2.3163735114436856,1
TCGA-LL-A50Y-01A-11R-A266-07,6.5495968912471385,2.8193143913958694,1
TCGA-BH-A0DK-01A-21R-A056-07,6.382246102615453,3.8208168833452665,0
TCGA-D8-A4Z1-01A-21R-A266-07,6.041456313437988,3.923127394360871,0
TCGA-AQ-A04L-01B-21R-A10J-07,7.261299640907605,3.003891949203184,1
TCGA-E2-A1BD-01A-11R-A12P-07,5.371329260899131,2.5079656212434744,1
TCGA-EW-A6SC-01A-12R-A32P-07,5.963544831147522,3.2292890392372247,0
TCGA-AN-A0XU-01A-11R-A109-07,8.42871496212614,1.8488204539464357,1
TCGA-OK-A5Q2-01A-11R-A27Q-07,5.562245056082977,3.351655209729272,0
TCGA-AR-A24O-01A-11R-A169-07,6.868208847107623,3.89911444126916,0
TCGA-B6-A0RV-01A-11R-A084-07,5.817299556137939,3.457213958146914,0
TCGA-A8-A09T-01A-11R-A00Z-07,4.898181223487118,3.636831868701751,0
TCGA-C8-A278-01A-11R-A169-07,6.239852223819043,2.5953864917658707,1
TCGA-B6-A0RO-01A-22R-A084-07,4.695874049166125,1.96219058915261,1
TCGA-A8-A09B-01A-11R-A00Z-07,6.060209353238615,2.6415840142472344,1
TCGA-A7-A5ZX-01A-12R-A29R-07,5.974365967748908,5.264359076861498,0
TCGA-E2-A10F-01A-11R-A10J-07,5.131969573988869,4.144120323471097,0
TCGA-A2-A1G4-01A-11R-A13Q-07,6.111347347338143,1.867029139430593,1
TCGA-E2-A1LB-01A-11R-A144-07,6.091669045657909,2.171013105272666,1
TCGA-BH-A0EI-01A-11R-A115-07,5.551782844254357,3.488325743032137,0
TCGA-D8-A147-01A-11R-A115-07,5.47814174557555,3.9068435434882858,0
TCGA-A7-A13F-01A-11R-A12P-07,6.251793144738933,2.916817966724365,1
TCGA-B6-A1KI-01A-11R-A14M-07,8.157873914973015,3.6762028671349984,0
TCGA-LL-A9Q3-01A-11R-A41B-07,4.789892998129996,2.150996076696921,1
TCGA-BH-A0E6-01A-11R-A034-07,6.233004599375624,2.2485019877250862,1
TCGA-AR-A2LJ-01A-12R-A19W-07,4.2464514962200575,2.774340942497397,1
TCGA-BH-A0AU-01A-11R-A12P-07,4.681722885864519,3.0527284142917197,1
TCGA-BH-A18H-01A-11R-A12D-07,6.558250534863989,2.54242436665747,1
TCGA-AO-A03U-01B-21R-A10J-07,5.383377610167831,2.8269277677962696,1
TCGA-A2-A0YE-01A-11R-A109-07,6.07255396188468,2.202553236068372,1
TCGA-BH-A203-01A-12R-A169-07,6.66047995821625,2.744910076056852,1
TCGA-AR-A2LL-01A-11R-A180-07,5.193142213767059,1.8999085548775867,1
TCGA-B6-A0WZ-01A-11R-A109-07,6.416782420486017,1.9503194135177664,1
TCGA-E2-A106-01A-11R-A10J-07,7.956999949099959,2.669010813677949,1
TCGA-A8-A081-01A-11R-A00Z-07,5.094276527535968,1.0649812506776053,1
TCGA-D8-A143-01A-11R-A115-07,6.715735871644533,0.9997244264310988,1
TCGA-A7-A0DB-01A-11R-A277-07,4.478183361162574,2.633354384376277,1
TCGA-AR-A24H-01A-11R-A169-07,5.09091097414824,1.3367114697967155,1
